department,title,ask,answer
心血管科,高血压患者能吃党参吗？,我有高血压这两天女婿来的时候给我拿了些党参泡水喝，您好高血压可以吃党参吗？,高血压病人可以口服党参的。党参有降血脂，降血压的作用，可以彻底消除血液中的垃圾，从而对冠心病以及心血管疾病的患者都有一定的稳定预防工作作用，因此平时口服党参能远离三高的危害。另外党参除了益气养血，降低中枢神经作用，调整消化系统功能，健脾补肺的功能。感谢您的进行咨询，期望我的解释对你有所帮助。
心血管科,高血压该治疗什么？,我是一位中学教师，平时身体健康，最近学校组织健康检查，结果发觉我是高血压，去年还没有这种情况，我很担心，这边我主要想进行咨询一下高血压应当怎样治疗？麻烦医生指导一下，谢谢。,高血压患者首先要注意控制食盐摄入量，每天不超过六克，注意不要吃太油腻的食物，多吃新鲜的绿色蔬菜水果，多吃有机食物，注意增强体育锻炼，增加身体素质，同时压力不要过大，精神不要紧张，效果不佳的话，可以积极配合以降压药物控制血压治疗，情绪平时保持平和，不易激动。
心血管科,老年人高血压一般如何治疗？,我爷爷今年68了，年纪大了，高血压这些也领着来了，这些病让老人很痛苦，每次都要按时喝药，才能控制住，还得时不时去医院检查一下身体，想进行咨询一下医生，老年人高血压如何治疗？,你爷爷患高血压，这是老年人常见的心血管病，血管老化硬化，血压调整能力消退了，目前治疗高血压最重要的方式就是口服降压药，按时口服，不定期复检血压，把血压控制在正常范围是最理想的状态，建议不定期去医院查体，平时不要抽烟喝啤酒，不要吃太咸的食物。
内分泌科,糖尿病还会进行遗传吗？,糖尿病有隔代遗传吗？我妈是糖尿病，很多年了，也没养好，我现在也是，我妹子也是，我儿子现在二十岁，没什么问题，但是以后会不会也得糖尿病啊，真是难过，我现在就已经开始让他控制点吃东西。,2型糖尿病的隔代遗传概率为父母患糖尿病，临产的发生率为40%，比一般人患糖尿病，疾病，如何更重要的选择因素基于生活方式的，后天也隔代遗传隔代遗传易感性更公正，增强患糖尿病的风险，低糖低脂肪，平时清淡饮食，适当锻练，增强监测数据，血糖仪买个备取。
内分泌科,糖尿病一般需要怎么治疗？,我妈定期检查仔细检查的时候，仔细检查出患糖尿病，糖尿病需要有怎么治疗？我大概知晓是需要有控制糖量，但是不清楚其他除了什么需要有注意的，同时治疗的时候有什么吗？,糖尿病患者首先通过饮食控制和锻练运动，肥胖患者把体重降下来等方式调整一下看一看，如果血糖仍然偏高的话，要考虑决定合适的降糖药治疗，通常可以先决定口服降糖药，并且注意监测数据好血糖；还要防止含糖量高的食物，原则上甜食要尽量避免，还要防止暴饮暴食，适当锻练运动，控制体重。
内分泌科,糖尿病患者能够进行缓解吗？,可是年纪大了吧，以前累积下来的大大小小的病都在这一次爆发了。我得了糖尿病。看过医生，也有在喝药，可是都不很起效。想找一种更有效地办法。您好，糖尿病怎么治疗更好？,糖尿病的治疗主要有饮食经营，活动，口服降糖药物治疗和麻醉胰岛素治疗。药物治疗，均需要有互相配合饮食和活动经营。建议您平时饮食要严格注意质和量的掌控，量要少而精，品种多而全，建议你饮食荤素配搭，每餐排便顺序是，蔬菜，豆制品，瘦肉，最后吃主食，主食宜不宜稀，要影响水果的摄取。如果您口服降糖药物效果不明显，建议您换用麻醉胰岛素治疗。
内分泌科,糖尿病会出现什么症状？,我是不是糖尿病，如何严重，糖尿病的典型症状有哪些?血糖高之后感觉什么东西都不能够吃了，有糖分的东西都不敢吃，怕血糖又高，不知晓是不是变严重了，糖尿病的症状有哪些？,你好，根据你描述的情况看来糖尿病是可以致使血糖异常下降的，可以再次出现三多一少的症状，如喝水多，小便多，饭量大，体重减轻，建议你尽快复诊当地医院内分泌科看一看，需要有让大夫仔细检查你的血糖水平，明确有否糖尿病的情况，及时动用降糖药治疗，平时一定少吃甜食，足量锻练。
心血管科,老年患有高血压，危险有多大?,医生，我叔叔今天住院了，我去医院看他，发觉这个医院心脑血管科室真的人多，是不是天冷对这一小部分人群杀伤力大，您好一下，老年患高血压，危险有多大?会不会有生命危险,老年患高血压的危害是比较大的，在临床诊断上可以影响心、脑、肾等脏器，为高血压可以得脑出血，也可以得脑梗塞，这个最重可以引来濒死，偏瘫，高血压还可以引来心肌肥厚，可以致使心功能不全，而且可以引致缺血性心脏病，长期的高血压还可以致使肾动脉硬化，可以引来肾功能不全。
消化科,哪家医院能治胃反流,烧心，打隔，咳嗽低烧，以有4年多, 建议你用奥美拉唑同时，加用吗丁啉或莫沙必利或援生力维，另外还可以加用达喜片
心血管科,高血压能去做大幅度剧烈运动吗？,我有高血压，一直在喝药治疗，需要有注意些什么？高血压能做剧烈运动吗？,您好，您现在是高血压患者，现在一直在口服着降压药物，所以呢，太剧烈的活动是不适合你的，但是也要每天有活动，每天都要有轻度的，不太剧烈的活动。饮食上要注意低盐低脂饮食，因为血脂高的话，可以引发动脉粥样硬化，增大心脏的阻力，有利于控制血压。平时要注意个人生活习惯，饮食要健康。
心血管科,有高血压的人能献血吗？,最近单位组织无偿献血，我也挺想无偿献血的，因为据说适当无偿献血对男的身体有好处，但是我得高血压能有个四五年了，平时靠吃降压药保持着，所以想问一下医生，有高血压的人能无偿献血吗？,高血压患者可以无偿献血，因为无偿献血后对血压的影响很小，患高血压的患者平时应经常口服降压药，而且应讲究以清淡的食物为基础，多吃许多新鲜的水果和蔬菜，不要吃太多油腻的食物，不要抽烟，不要喝啤酒，高血压患者的情绪震荡也不要太大，防止生气急躁。以上可以做为参考。
心血管科,我妈妈高血压有什么要注意的？,我妈妈高血压有什么要注意的？她平时爱吃泡菜和大鱼大肉的，身材也有些肥胖还不爱活动。听别人说高血压不能够吃太咸了，也不能够吃太多肉，但是我们说了她不听。所以想找个高血压方面的专家进行咨询一下。,平时要按时测定血压，尽量把血压控制在正常范围之内。按时口服降压药物，不可以擅自加量或者是加量。平时要适当的活动。不要吸烟喝啤酒，不要熬夜，作息规律，确保充足的深度睡眠，高血压患者一定要注意饮食，不要吃太多油腻辛辣的食物，要多吃点蔬菜水果，要低盐，低油，低脂饮食。
心血管科,高血压的标准是多少？,我最近在工作的时候总会时不时的感觉到头晕，头痛，而且没什么精神，还再次出现肢体麻木、夜尿增多，胸闷的症状，特别像高血压的症状，所以我想知道我是不是高血压啊？,高血压病的确诊主要是借助血压测定来诊断了，如果质疑自己可能会患高血压的建议到医院心内科门诊实施血压测定，如果高压低于140毫米汞柱，地下低于90毫米汞柱，就可以考虑高血压病。但是肢体麻木应叫不断增多，胸闷之类的症状，并不是高血压病的特征性体征，如果血压测定没明显异常，建议实施颈椎x线和心电图仔细检查，帮助确诊。
神经科,想知道癫痫长期用药的危害有什么？,查出来癫痫十几年一直在喝药压但是药三分长期喝药一定是不好癫痫长期用药的危害有什么？,根据你叙述的情有癫目前没正式救感觉症状越来越严重。在这种情况建议在医生的指导下治疗癫痫症状。根据你叙述的情长期用药可能会致使过敏反也可能会致使粒细胞减少或智力性痤疮。功能障碍、厌食等。癫痫药物的副作用是众所周知的问题。长期使用卡马西平等抗癫痫药必然会致使记忆失去、反映迟缓和肝肾功能危害。
心血管科,高血压出现头晕，脸红的症状怎么办？,打搅了医生，情况是这样子的，我爷爷现在是个高血压患者，可是他最近说他经常头晕，很痛，然后我看他的脸好象也比平时红了许多，您好高血压再次出现头晕，脸红的症状怎么办？,高血压再次出现头晕脸红的症状，应当还是由血管扩展引发的，这种情况再次出现头晕一般跟脑血管痉挛脑供血不足是有关系，跟高血压有直接关系，必须要注意休息，不能够抽烟喝啤酒，需要有积极的降血压，可以通过口服扩展血管药物，也可以通过口服卡托普利或者利尿药物来稳定血压。
心血管科,高血压能吃乌鸡白凤丸之类的药？,高血压能吃乌鸡白凤丸吗？高血压要注意什么？乌鸡白凤丸有什么疗效呢？,高血压患者是可以吃乌鸡白凤丸的，具体要结合实际的病情来使用有关的药物，高血压患者要注意的是，首先高血压患者一定要在饮食方面办到低脂低盐低胆固醇的饮食方式，要控制食盐的摄入量，少吃动物的内脏肥肉，鱼籽蛋黄等乌鸡白凤丸的主要功能是补气养血，调经止带，用来气血两虚，身体瘦弱，腰膝酸软，月经量少，乌鸡白凤丸具有调养型药物。如果症状比较明显，建议与医生交流具体的药物运用。
内分泌科,糖尿病患者如何控制血糖？,医生您好，我叔叔患糖尿病，是几天前发觉的，我在医生那里了解到有糖尿病需要有控制血糖，可是他没告诉我怎么控制，我就想问问您，糖尿病患者应当怎么控制血糖？,糖尿病是常见的慢性病，病发与隔代遗传因素，饮食习惯以及外界环境都有关系。如果诊断为糖尿病，血糖值不是很高，可以先通过改善生活方式以及增强活动办法，使血糖降至正常。但是如果上述办法效果不好，那么就需要有在控制饮食和加强锻炼的基础上加用降糖药物。
心血管科,高血压什么原因引起的？,我妈妈我今年49岁，这段时间不知晓怎么回事，她的血压有时高有时低，备感非常不舒服，感觉走不动也痛，有时候头也很晕，您好一下，血压时高时底是什么原因引来的？,高血压引来的原因是比较多的，首先要考虑的是隔代遗传的因素，其次要考虑许多不良的环境因素引发噪音以及不良的生活习惯，长期的熬夜上班或者是过度的肥胖，控制体重，体育锻炼比较少，以及食盐摄入量过多，许多药物的影响或者是疾病都有可能会引来高血压。吃过多的肥腻的食物也是引来高血压的因素。
心血管科,高血压心速过缓是怎么回事？,从年轻时就爱喝啤酒，每天嗜酒如命，无酒不欢，但是致使了我高血压心脏病等一连串病症，每天都口服药物，感觉太痛苦了。我想进行咨询一下高血压患高血压患者180以上，加心速过缓，是怎么回事？,加心速过缓尽量高血压致使的，也跟喝啤酒有关系，一般患高血压是不能够喝啤酒的，因为会引来血压下降，也需要有口服降压药治疗，如果不及时治疗会引来并发症，但患高血压必须戒酒，如果病情严重也需要有去医院复诊治疗，平时不能够吃高脂肪食物，注意饮食清淡为基础，不能够吃太咸食物。
心血管科,高血压引起血管赌塞严重吗？,邻居家的个老爷爷平时身体挺健康的，也经常进去锻练，但是就是有点高血压。据说控制的还可以，也不知晓是不是上了年纪的过。血管有点阻塞了。高血压引来血管赌塞严重吗？,现在主要是高血压引来的血管堵塞，很可能是有脑梗死了，会再次出现头晕头痛乏力，精神不好，有时再次出现了肢体麻木，偏瘫，半身不遂，所以对身体的危害是比较大的，如果严重时需要有住院治疗比较好一些，这样有助于疾病的控制，高血压需要有口服降压药物治疗，平时需要有不定期测定血压。
心血管科,年轻人有高血压应该怎样治呢？,医生打搅了，我已经26岁了，但是我最近生活压力很大，因为我刚结婚一年，家里没什么经济来源，所以只能靠我一个人进去上班，除了上班刚刚稳定下来，公司好象又有兴衰，所以我想问一下，你年轻人有高血压怎么办呀？,您好，根据您的情况，初步判断是由于长期精神紧张所致使的血压下降，具有生理性高血压。可通过自身调整减低血压，始终保持平和的心态，防止精神长期紧张，正确的看待现在的困境，闲暇时实施户外锻练。若血压持继下降，建议您通过药物调养。饮食以清淡营养为基础，防止排便辛辣油腻刺激性的食物，防止饮用浓茶，咖啡等刺激性的饮料。
心血管科,高压100，低压120是高血压嘛？,这两天在家里做家务的时候，突然感觉自己头晕眼花，食欲也不是很好，而且这种情况再次出现的很频繁，家里人带我去医院做了仔细检查，我的血压高压100，通风机120这情况是高血压嘛？,您好：人体正常的血压：收缩压在90-140，舒张压在60-90，您的舒张压也就是高压是120，拥有正常的，舒张压也就是通风机是100，偏高了，建议你您先调养饮食看一看，平日不要吃过咸腌渍食物，影响盐的摄入量，每天不超过5g，不吃或少吃油腻高脂肪食物，多吃蔬菜水果，严令禁止烟酒，坚持锻练，不定期复检血压，如果一直还高，就需要有吃降压药了，祝健康！
心血管科,高血压会引起走不起路吗？,我老公患高血压已经有5年的时间了，最近一段时间总感觉走路不太舒服，感觉走没法路了，走一脚的话就累得不行了，高血压会引来走不起路吗？想理解一下，然后医生给我解惑一下，现在血压还算比较平稳。,高血压5年了时间还是挺长的，如果他平时的血压控制不好，有可能现在有高血压心脏病了，所以一走路就会心累，需要有做心脏彩超仔细检查。如果有头昏、他可能会有头颅小的阻塞，所以会再次出现下肢乏力，需要有去医院做头颅CT仔细检查明确。高血压是慢性病需要有长期服药，把血压控制在正常范围内。
内分泌科,糖尿病人怎样补钙？,我大伯他患十多年的糖尿病。但是就在今年，他感觉四肢无力，而且浑身没劲儿，就去医院仔细检查了一下。大夫说他是骨质疏松。其实就是老年缺钙。我想进行咨询一下，糖尿病人怎样补钙？,糖尿病可以通过口服李乐钙片、维生素AD、无糖阿胶钙口服液等来治疗。如果消化钙，并且可以通过适当的阳光照射等方式来治疗。你也可以从饮食中消化钙，比如说多吃虾、喝牛奶、吃食用菌，比如说蘑菇、金针菇等。，喝鱼汤或骨头汤等。用来补钙治疗。以上可以做为参考。
心血管科,年轻人高血压吃什么药啊？,这次单位健康检查的时候，我查出来有高血压。这个病不是老年人得的吗？年轻人高血压吃什么药啊？,在健康检查的时候查出来有高血压，这个病不一定一定是老年人得的，高血压是一种慢性疾病，而且现在它的发病率也在越来越年轻化，特别是40岁以上的发病率比较高，主要是因为现在的生活方式以及压力过大，多种不同原因所致使的年轻人高血压吃什么药物，最终还是要结合患者的自身情况，在医生的指导下口服药物
心血管科,高血压可以补钙吗？,高血压可以补钙吗？为什么在中老人的阶段钢架容易患高血压的呢？患高血压的病人是不是需要有特别注意的啊？怎么治疗高血压才是效果最好的啊？可有好的建议？,高血压是可以足量补钙的，可以通过食物疗法多喝奶制品和豆类食品，有助于钙质炼化。因为随着年龄的增涨致使，会再次出现动脉中样硬化，致使血管异常而再次出现高血压的情况，平时注意低盐低脂饮食，少吃油腻油炸食物，始终保持心情愉快，适当活动，降低身体免疫力同时在医生指导下口服降压药物治疗，一定要按时口服，监测数据血压。
心血管科,我高血压吃什么药好?,医生，我发现自己最近没什么食欲，对什么食物都没胃口。而且总是觉着胸闷得厉害，有时候感觉整个人都喘不过气来了，另外除了别的问题，我高血压吃什么药好？,如果患者拥有长期高血压患者的话，现在的情况你是需要有去医院仔细检查的，尤其这种胸闷的情况，不排除是由于高血压引来的心肌供血不足的表现出。需要有早上空腹去医院做一下血脂，血粘度，除了心电图等仔细检查。请医生查明病因后，按照医生医嘱治疗，注意休息，低盐低脂饮食。
心血管科,原发性高血压能怀孕吗？,医生我因为身体肥胖，而且有高血压，现在结婚两年了，一直想要个宝宝，但是我进行咨询过许多医生，他们都不建议我要，因为怕怀上的时候再次发生妊高症，您好原发性高血压能怀上吗？,体型肥胖的人再次出现高血压的问题，大多数具有腺样体肥大的情况，建议到耳鼻喉科检查一下，看如何有悬雍垂肥大，扁桃体肿大，喉头声带息肉，包括鼻炎致使的鼻塞问题，现有高血压的女性在妊娠期是容易再次出现妊高症的，可以说怀上受孕冒着很大的风险，如果是轻度高血压患者，可以试一下，早孕的晚期一定要及早的住院。
心血管科,如何救治高血压？,自己的高血压得了3年了，生活不是很方便，想问大家如何治好高血压？,您好，看您的叙述，是得了高血压三年。这个病是神经内科的一种常见病，目前病发原因搞不清楚。也没特殊的治疗方案，需正规口服降压药物控制血压。建议您按照医嘱按时口服降压药物治疗吧。在日常生活中尽量少吃油腻的食物。不定期监测数据血压血脂。比定期到医院进行复查。
心血管科,高血压情况该如何处理？,我平时身体挺好的，但比较近不知晓为什么头晕，前几天我去社区健康检查的时候医生告诉我有高血压，这让我很担心，搞得这段时间一直很烦躁，在这我想问问您，高血压情况该怎么办？,您好，按照你目前的情况下，不能够排除是因为拥有的高血压问题引发的大脑动脉粥样硬化的情况。可以考虑及时的到医院做个颅脑的核磁共振仔细检查进一步的明确。平时的时候一定要注意饮食清淡积极的口服药物，控制高血压。注意适当的锻炼身体。增加油腻食物的摄取。
心血管科,高血压分几个等级？,高血压分成几个等级？血压有多少才是最危险的呢？高血压分几个等级？,目前高血压主要分成三级，分别为高血压病三级，二级和三级。当高压大于140毫米汞柱或者通风机大于90毫米汞柱，所定性为三级。当高压大于160毫米汞柱或通风机大于100毫米汞柱定性为二级，如果高血压大于180毫米汞柱或地下大于110毫米汞柱定性为三级。很高危并不是高血压病分层，主要指的是再次出现心脑血管卒中等严重并发症可能会的一种概率。
内分泌科,治疗糖尿病什么药，疗效较好？,我婆婆今年65岁，前两年仔细检查出糖尿病就一直靠喝药控制治疗，经常说头晕身体不舒服之类的，两年间没断过去医院拿药吃，您好治疗糖尿病什么药，疗效最好？,糖尿病的患者应当口服一些重新调整血糖的药物，常决定的有二甲双胍，格列比嗪，瑞格列奈等，如果一种药物可以把血糖控制在理想范围之内，一般倡导单用药物比较好，平时可以多吃冬瓜，梨，海带，香菇，西兰花菜，胡萝卜等食物，防止大便干结，不要生气，少吃过甜的食物。
心血管科,高血压心率慢如何处理？,我的高血压已经很多年了，一直在吃着降压药调养，今天我去医院仔细检查了一下，医生说我还是高血压心率慢，在这我想进行咨询一下医学方面的专家，高血压心率慢怎么办？谢谢您的答覆,您好，您现在有高血压，同时伴发心率慢，如果每分钟心率在50次以上，而你又没备感胸闷心慌的症状，是用不着调养心率的，这种情况人体是可以耐受的，也绝不会再次出现远期的反映，但是心率高于50次，就要口服一些稳定窦房结功能的药物，来降低心率。现在你的重点治疗方案还是控制好血压。
心血管科,高血压能喝黑茶吗？,我爷爷特别喜欢喝黑茶，可他现在有高血压了，我就想问一下，有高血压能喝黑茶吗？,您好，有高血压的患者是可以喝黑茶的。茶是一种比较常用的饮料，吃茶有助于人体的身体健康黑茶通过特殊的再加工所含一些的微量元素，对人的健康是很有帮助的，绝不会致使血压下降的，一般血压高的患者主要是低盐和低脂饮食，吃茶对血压并没有影响的。祝您健康。
心血管科,高血压喝什么奶好？,我平时很喜欢喝奶，但是上个星期查出来有高血压，您好一下医生高血压喝什么奶好？,如果有高血压的情况下是可以喝牛奶的，绝大多数情况下高血压需要有注意低盐饮食，对牛奶并没有特殊的讲求。一旦再次出现高血压需要有长期口服降压药，喝牛奶可以决定低脂的牛奶。口服降压药期间，需要有不定期实施血压的测定，预防心脏脑和肾的并发症再次出现。
内分泌科,糖尿病不吃药靠运动可以痊愈吗？,一个月瘦了20斤，仔细检查说是糖尿病，糖尿病不喝药靠活动可以全愈吗？,您好：糖尿病需要有检验病情的，糖尿病不喝药靠活动不可以全愈。您可以到医院内分泌科复诊一下，实施血糖、糖化血红蛋白、肝功肾功、眼底、下肢动静脉磁共振、末梢神经等仔细检查，根据仔细检查结果再做治疗，可以使用胰岛素或者口服降糖药物治疗。平时注意休息，控制饮食，足量活动，监测数据血糖。祝您早日恢复健康。
心血管科,高血压可以吃桂圆干吗？,一向健康的大姨被查出来得了高血压，那么谁知道高血压可以吃桂圆干嘛？,您好，高血压的病人是可以吃桂圆干的，完全没有必要担心的，桂圆干是一种水果而已。对高血压的病人是没任何影响的高血压的病人，尽量的不要吃辛辣刺激食物以及油腻的食物，不要吃得过咸，要注意规律饮食，不要吃得太饱就行了，其他的没太多的影响。祝您健康。
心血管科,高压125低压100算高血压吗？,前个星期我们公司组织了健康检查，昨天发了体检表，把各项的健康检查和同事做了做了一下对照，发觉血压比他们都高了一点儿。有点担心得了高血压。来问问医生高压125通风机100算高血压吗？,你这种是测一次的血压高，主要是舒张压的下降，一般比较少要测安静状态下的三次以上，如果每次都高的话，就考虑高血压了。建议近几天多到医院测一些次血压，也可以做个24小时的动态血压仔细检查，以明确确诊。日常生活中，清淡饮食，忌辛辣刺激油腻性食物，多吃蔬菜、水果等含有维生素类的食物。注意休息，不要熬夜。
心血管科,高血压能吃丹参片吗？,我妈妈有点高血压，比较近我朋友送了我一些丹参片，我想知道高血压能吃丹参片吗？,丹参片具备活血化瘀打通血管的作用可以致使血液粘稠度减低，所以就容易致使血管内血液供应便好防止出现血液粘稠，致使血压下降，所以对降血压是有一定帮助的，高血压患者是经常使用丹参片实施治疗的。可以预防，因为血液粘稠引来的冠心病心绞痛以及外周血管脑水肿症状。
心血管科,高血压脑出血要休养多久？,我一个人带孩子现在孩子还没有结婚可是前两天却因为脑出血住院了，而且目前我还没有退居二线公司批假也批没法那么长时间想让自己身体康复的差不多了就赶紧出院回来上班了，高血压脑出血要静养多长时间？,脑出血这个病情还是非常严重的，还是要看你彻底恢复的情况，如果彻底恢复的比较好，出血量比较少，那么至少要休息一个月左右的时间的后期，还是要看具体彻底恢复的情况，方才能明确如何实施正常的的建议，还是要注册病假，确保良好的病情康复，才可以正常上班。
心血管科,高血压吃什么好水果？,患高血压吃什么好，可有什么水果是降压的？高血压要注意什么？,高血压患者可以适当的消化维生素c可以通过多吃新鲜蔬菜及水果来享受，可以多吃山楂，香蕉，梨子等水果。多吃苹果对于心脏有一定的守护作用，同时香蕉中含钾的量非常的高，对于缓解摄取过多的食盐也具备一定的好处，因为食盐的主要成分是钠，对于水果的决定，高血压患者并没有太多的禁忌，一般的水果都是可以吃，但是建议不要吃或者是少吃含糖量比较高的水果。
心血管科,高血压可以吃黑米吗？,我老公高血压现在已经2年了，想要吃黑米，那么高血压可以吃黑米吗？,"高血压可以吃黑米,黑米有滋阴肾、脾和肝、健脾和胃、温暖、活血、养肝等功效,经常食用黑米有助于预防和治疗头晕、贫血,白色的头发,腰无力、咳、便秘、排尿,缺肾水肿,食欲不振,虚弱的脾胃疾病,比如说年轻的白发,妇女产后虚弱,身体缺少性贫血，病后肾虚有很好的效果，黑米是很有营养的食物，所以非常适合高血压患者吃黑米。"
心血管科,人参高血压可以吃吗？,我准备过两天去看我叔叔，顺便带些人参，但是他有高血压，您好人参高血压可以吃吗？,人参有一定的调压作用，主要用来气虚体虚的患者，如果有气血不足，气短乏力，神经衰弱，神经衰弱健忘等不适症状的话，可以适当口服人参调养身体，但是对于高血压的病人，如果长期食用人参的话，可能会对血压引发一定影响，所以，比较好到医院中医科实施辨证论治调治，看如何适合食用人参。
心血管科,有轻度高血压的话平时需要注意哪些？,患者女，56岁，前一段时间总是感觉头晕、恶心，有时候还会眼花，去医院仔细检查之后医生说有轻度的高血压，说没什么大问题，平常中多注意一些就行了，当时因为诊室里病患太多，医生交代的也不是很清楚，所以想您好您有轻度高血压的话，平时都该注意哪些问题呢？,头晕恶心就需要有排除一下头部病变，如果血压轻微下降的话影响倒不是很大，主要还是决定控制血压，然后就是营养脑神经，稳定脑血管问题，主要还是考虑头部问题，可能性高一些，通过投入到位置的检验来实施明确，如果恶心症状比较明显，也需要有排除一下消化系统的问题。有些人群对于血压下降的敏感性比较重，所以会再次出现头晕，平时防止剧烈运动，不要操劳，然后影响高盐食物的摄取就可以。
内分泌科,糖尿病能不能吃葡萄糖？,得了糖尿病什么都不敢吃但是特别喜欢吃甜食，您好糖尿病能不能吃葡萄糖？,你患糖尿病，提示血糖是低于正常的，长期的血糖高可以引起慢性并发症，糖尿病患者需要有非常注意饮食控制，不能够吃太多甜食，葡萄糖拥有单糖，可以迅速被炼化，下降血糖很快，不建议你吃葡萄糖，按时使用降糖药，把血糖控制正常，不定期复检血糖，平时需要足量运动。
心血管科,30-40岁高血压的寿命能有多长？,我老公患高血压，吃了一段时间药后好点了，想问一下30-40岁高血压的寿命能有多长？,患高血压必须要及时的口服降压药物实施控制，针对30岁到40岁的高血压人群不断增多。高血压如果不及时的控制，容易引来并发症影响人体寿命。通过规律的口服降压药物，如果可以控制理想，一般对寿命影响不是很大。如果再次出现并发症，也需要有及时干涉，具体寿命多长不好说。
心血管科,窦性心律和左心室高电压可检测高血压会有副作用,爸爸今年65岁了，想带他去测一下高血压，据说窦性心律和左心室高电压可以检验高血压，但我难过会有什么副作用，爸爸身体不太好。想问一下专业人士窦性心律和左心室高电压可检验高血压有副作用吗？,您好，如果您想仔细检查老人的心率和左心室如何有高电压，做这些仔细检查是没副作用的，对身体是没什么负面影响的，一般只是做个心电图就能诊断了，心电图仔细检查运作很简便，费用也不高，20到30块钱左右，大概20分钟就能运作完，这个仪器也没幅射，所以对身体没负面影响。
心血管科,老人患有高血压经常头疼该怎么治呀？,医生我奶奶患高血压病十多年了，平时也都有按医生开的降压药来吃，但是比较近这几天不知晓怎么了经常头疼，头疼下来血压又飙高吃降压药都降不下来，您好老人患高血压，经常头疼，该怎么治呀？,老年人患高血压再次出现头疼，这种情况只好是通过药物来控制，如果将药物不缓解，就得需要有到医院住院治疗，可以换其他药物来治疗，决定适合自己的药物，可以联手用药。如果血压控制不好，容易再次出现心脑血管意外的，所以您一定要到医院做个相关检查，明确病因再对症治疗，平时注意休息，防止过度操劳，确保充足的深度睡眠，低盐低脂饮食，饮食以清淡为基础。
内分泌科,糖尿病龟头烂用什么药？,老公最近下体有点疼去医院仔细检查发觉是得了糖尿糖尿病龟头烂用什么药？,糖尿病是一组以高血糖为特征的代谢性疾病。高血糖则是由于胰岛素排泄缺点或其生物作用受或两者兼具引来。糖尿病时长期存在的高血致使各种组织功能障碍。龟头腐烂主要是由局部炎症影响引来的。另一方面需要有局部灭菌救同时需要有许多消炎软比如局部治疗需要有使用许多百软膏或克霉唑软也需要有及时换药治疗。
